,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
0,1,Abbotsford,Dukes Gym Abbotsford,571-573 Victoria Street,VIC,3067,2021-05-24,24/05/2021,6:15pm - 8:15pm,Case attended venue,2021-05-26,26/05/2021,11:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:15:00,20:15:00,1,2
1,2,Axedale,Axedale Tavern,105 High Street,VIC,3551,2021-05-23,23/05/2021,11:45am - 1:30pm,Case attended function,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:45:00,13:30:00,1,3
2,3,Balwyn,"Endless Lifestyle Studio
","Shop 3/188 Whitehorse Road
",VIC,3103,2021-05-23,23/05/2021,9:45am - 12:40pm,Case attended venue,2021-05-26,26/05/2021,11:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:45:00,12:40:00,1,3
3,4,Bendigo,Hairfolk,33 Williamson Street,VIC,3550,2021-05-22,22/05/2021,9:40am - 10:10am,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:40:00,10:10:00,2,4
4,5,Brunswick,Futsal Brunswick,409 Victoria Street,VIC,3056,2021-05-23,23/05/2021,9:00am - 10:00am,Case attended venue. The Department may provide you with specific advice depending on what activity you participated in at this exposure site.,2021-05-24,24/05/2021,21:09:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:00:00,10:00:00,2,1
5,6,Bundoora,Jump! Swim Schools Bundoora,4/37 The Concord,VIC,3083,2021-05-21,21/05/2021,8:55am - 10:15am,Case attended venue,2021-05-24,24/05/2021,16:07:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:55:00,10:15:00,1,3
6,7,Carlton,"RMIT Campus, Building 56","115 Queensberry Street

",VIC,3053,2021-05-21,21/05/2021,8:00am - 10:30am,Case attended Building 56,2021-05-26,26/05/2021,11:07:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:00:00,10:30:00,2,5
7,8,Clifton Hill,McDonald's Clifton Hill - Dine-in Only,199 Queens Parade,VIC,3068,2021-05-22,22/05/2021,6:00pm - 7:00pm,Case dined inside venue,2021-05-24,24/05/2021,12:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:00:00,19:00:00,1,2
8,9,Coburg,BP Southvale,303 Bell Street,VIC,3058,2021-05-22,22/05/2021,8:10am - 8:30am,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",08:10:00,08:30:00,2,4
9,10,Coburg,The Nicholson Coffee House,6/14-20 Nicholson Street,VIC,3058,2021-05-22,22/05/2021,12:00pm - 1:00pm,Case sat inside cafe,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,13:00:00,1,4
10,11,Epping,ALDI Epping,347-371 Dalton Road,VIC,3076,2021-05-23,23/05/2021,6:00pm - 7:30pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:00:00,19:30:00,2,1
11,12,Epping,"Chemist Depot Epping, Pacific Epping Shoping Centre",571-583 High Street,VIC,3076,2021-05-23,23/05/2021,11:15am - 12:00pm,Case attended venue,2021-05-24,24/05/2021,12:50:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",11:15:00,12:00:00,2,1
12,13,Epping,Chemist Warehouse,"Shop 15, Dalton Village, 351-371 Dalton Road",VIC,3076,2021-05-19,19/05/2021,6:45pm - 8:00pm,Case attended venue,2021-05-25,25/05/2021,21:45:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",18:45:00,20:00:00,2,6
13,14,Epping,Coles Epping,Shop Number Q002. Pacific Epping Cooper Street & High street,VIC,3076,2021-05-20,20/05/2021,6:45pm - 7:35pm,Case attended venue,2021-05-26,26/05/2021,00:46:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:45:00,19:35:00,1,6
