,_id,Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,tier,date_delay
0,1,Reservoir,Healthy India ,276 Broadway,VIC,3073,2021-05-27,27/05/2021,9:30am - 2:00pm,Case attended venue,2021-05-28,28/05/2021,16:15:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:30:00,14:00:00,1,1.0
1,2,Maidstone,Arcare Maidstone Aged Care (Entire Facility),31 Hampstead Road,VIC,3012,2021-05-26,26/05/2021,12:00am - 11:59pm,Case attended facility. Any resident who has attended or who was at Arcare Maidstone Aged Care in any part of the facility from 26 May to present.,2021-05-30,30/05/2021,17:16:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,00:00:00,23:59:00,1,4.0
2,3,Maidstone,Arcare Maidstone Aged Care Facility ,31 Hampstead Road,VIC,3012,2021-05-26,26/05/2021,7:00am - 11:59pm,Any other attendence at Arcare Maidstone since 07:00 am from 26/05/2021 until lockdown on 29/05/2021 inclusive,2021-05-31,31/05/2021,12:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",07:00:00,23:59:00,2,5.0
3,4,Melbourne,Woolworths Metro Little Collins St,360 Little Collins St,VIC,3000,2021-06-03,03/06/2021,12:10pm - 12:50pm,Case attended venue,2021-06-05,05/06/2021,12:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:10:00,12:50:00,2,2.0
4,5,Melbourne,Aki Sushi,105 Queen St,VIC,3000,2021-06-03,03/06/2021,9:12am - 9:52am,Case attended venue,2021-06-05,05/06/2021,12:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:12:00,09:52:00,2,2.0
5,6,Melbourne,Aki Sushi,105 Queen St,VIC,3000,2021-06-02,02/06/2021,9:21am - 9:56am,Case attended venue,2021-06-05,05/06/2021,12:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",09:21:00,09:56:00,2,3.0
6,7,Greenvale,BP Greenvale,910 Mickleham Rd,VIC,3059,2021-06-02,02/06/2021,5:25pm - 5:58pm,Case attended venue,2021-06-05,05/06/2021,12:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",17:25:00,17:58:00,2,3.0
7,8,Craigieburn,Australia Post - Highlands Shopping Centre,Shop 8/300-322 Grand Blvd,VIC,3064,2021-06-03,03/06/2021,10:45am - 12:30pm,Case attended venue,2021-06-05,05/06/2021,13:20:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:45:00,12:30:00,1,2.0
8,9,Thornbury,Psarakos Market,2/8 Clarendon Street,VIC,3071,2021-06-01,01/06/2021,10:30am - 11:30am,"Case attended Fish market and the Fruit and Veg section
",2021-06-05,05/06/2021,18:13:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",10:30:00,11:30:00,2,4.0
9,10,Preston South,Woolworths Preston South & Attached BWS,50 Plenty Road,VIC,3072,2021-06-02,02/06/2021,12:00pm - 12:45pm,Case attended Woolworths & BWS,2021-06-05,05/06/2021,19:40:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",12:00:00,12:45:00,2,3.0
10,11,Melbourne,Levels 4 and 5 all areas,227 Collins St,VIC,3000,2021-06-01,01/06/2021,9:00am - 4:30pm,Case attended venue,2021-06-05,05/06/2021,20:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,16:30:00,1,4.0
11,12,Melbourne,Levels 4 and 5 all areas,227 Collins St,VIC,3000,2021-06-02,02/06/2021,9:00am - 4:30pm,Case attended venue,2021-06-05,05/06/2021,20:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,16:30:00,1,3.0
12,13,Melbourne,Levels 4 and 5 all areas,227 Collins St,VIC,3000,2021-06-03,03/06/2021,9:00am - 4:30pm,Case attended venue,2021-06-05,05/06/2021,20:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,16:30:00,1,2.0
13,14,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-05-30,30/05/2021,7:00am - 4:00pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,16:00:00,1,7.0
14,15,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-05-31,31/05/2021,7:00am - 4:00pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,16:00:00,1,6.0
15,16,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-06-01,01/06/2021,7:00am - 4:00pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,16:00:00,1,5.0
16,17,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-06-02,02/06/2021,7:00am - 4:00pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,16:00:00,1,4.0
17,18,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-06-03,03/06/2021,7:00am - 4:00pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,16:00:00,1,3.0
18,19,Melbourne,Probuild Construction Site,100 Queen Street,VIC,3000,2021-06-04,04/06/2021,7:00am - 12:30pm,Case attended venue,2021-06-06,06/06/2021,14:45:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:00:00,12:30:00,1,2.0
19,20,Public Transport,Metro Train Upfield Line  ,Merlynston Station to Flinders Street Station,VIC,,2021-06-03,03/06/2021,6:03am - 6:34am,"Case travelled on Public Transport
",2021-06-06,06/06/2021,22:23:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",06:03:00,06:34:00,2,3.0
20,21,Public Transport,Metro Train Upfield Line  ,Melbourne Central Station to Upfield Station,VIC,,2021-06-03,03/06/2021,3:55pm - 4:29pm,"Case travelled on Public Transport
",2021-06-06,06/06/2021,22:23:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:55:00,16:29:00,2,3.0
21,22,Public Transport,Metro Train Upfield Line  ,Merlynston Station to Flinders Street Station,VIC,,2021-06-04,04/06/2021,6:03am - 6:34am,"Case travelled on Public Transport
",2021-06-06,06/06/2021,22:23:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",06:03:00,06:34:00,2,2.0
22,23,Public Transport,Metro Train Upfield Line  ,Melbourne Central Station to Upfield Station,VIC,,2021-06-04,04/06/2021,3:55pm - 4:29pm,"Case travelled on Public Transport
",2021-06-06,06/06/2021,22:23:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:55:00,16:29:00,2,2.0
23,24,Campbellfield,Subway Campbellfield,"BP Service Station, 1489 Hume Highway",VIC,3061,2021-06-03,03/06/2021,3:35pm - 4:05pm,Case attended venue,2021-06-07,07/06/2021,19:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:35:00,16:05:00,2,4.0
24,25,Campbellfield,McDonald's Campbellfield,1603 Hume Highway,VIC,3061,2021-06-03,03/06/2021,3:45pm - 4:30pm,Case attended venue,2021-06-07,07/06/2021,19:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",15:45:00,16:30:00,2,4.0
