,Suburb,Site,Exposure period,Notes,Date added,Health advice,date_exposure,date_added,tier,date_delay
0,Suburb Glen Iris,Site Scicluna's Real Food Merchants Tooronga Village 350-354 Tooronga Road Glen Iris VIC 3146,Exposure period 23/05/2021 4:10pm - 4:57pm,Notes Case attended venue,Date added 01/06/2021 12:45pm,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-23,2021-06-01,2,9
1,Suburb Sunshine,Site BlueCross Western Gardens 40 Anderson Rd Sunshine VIC 3020,Exposure period 28/05/2021 12:00pm - 11:59pm,Notes Case attended venue,Date added 01/06/2021 1:47am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-28,2021-06-01,1,4
2,Suburb Sunshine,Site BlueCross Western Gardens (high care staff communcal area and low care entry) 40 Anderson Rd Sunshine VIC 3020,Exposure period 28/05/2021 4:00pm - 9:30pm,"Notes All staff, contractors and visitors who entered the low care unit and anyone who used the staff communal areas in the care unit",Date added 01/06/2021 1:47am,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-28,2021-06-01,1,4
3,Suburb Sunshine,Site BlueCross Western Gardens (all other areas of facility) 40 Anderson Rd Sunshine VIC 3020,Exposure period 28/05/2021 4:00pm - 9:30pm,"Notes All other staff, contractors and visitors in the facility",Date added 01/06/2021 1:47am,"Health advice Tier 2 - Get tested urgently and isolate until you have a negative result Anyone who has visited this location during these times should urgently get tested, then isolate until confirmation of a negative result. Continue to monitor for symptoms, get tested again if symptoms appear.",2021-05-28,2021-06-01,2,4
4,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,Exposure period 26/05/2021 7:00am - 1:30pm,"Notes Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs, Magnolia Unit)",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-31,1,5
5,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,Exposure period 27/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs, Magnolia Unit)",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-27,2021-05-31,1,4
6,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,Exposure period 28/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs Magnolia Unit) any time until lockdown occurred",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-28,2021-05-31,1,3
7,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Magnolia Unit) 31 Hampstead Road Maidstone VIC 3012,Exposure period 29/05/2021 12:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility and attended unit 2 (Upstairs Magnolia Unit) any time until lockdown occurred",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-29,2021-05-31,1,2
8,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility (Communal Facilities) 31 Hampstead Road Maidstone VIC 3012,Exposure period 26/05/2021 7:00am - 11:59pm,"Notes Any staff member, contractor or visitor in/to the facility who shared communal facilities (e.g. tea room or office space) with a confirmed case",Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-31,1,5
9,Suburb Maidstone,Site Arcare Maidstone Aged Care Facility 31 Hampstead Road Maidstone VIC 3012,Exposure period 26/05/2021 12:00am - 11:59pm,Notes Any resident who has attended or was at Arcare Maidstone in any other part of the facility from 26/05/2021 to PRESENT,Date added 31/05/2021 12:00pm,Health advice Tier 1 - Get tested immediately and quarantine for 14 days from exposure Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,2021-05-26,2021-05-31,1,5
